tournament_id,team_id,year,goals_for,goals_against,points
WC-2010,T-71,2010,5,6,4
WC-2010,T-73,2010,4,2,6
WC-2010,T-75,2010,1,1,4
WC-2010,T-83,2010,4,3,5
WC-2010,T-84,2010,4,0,7
WC-2011,T-04,2011,5,4,6
WC-2011,T-09,2011,7,0,9
WC-2011,T-12,2011,1,7,0
WC-2011,T-16,2011,0,4,1
WC-2011,T-28,2011,5,2,7
WC-2011,T-29,2011,2,7,0
WC-2011,T-30,2011,7,4,6
WC-2011,T-31,2011,7,3,9
WC-2011,T-44,2011,6,3,6
WC-2011,T-46,2011,3,7,2
WC-2011,T-49,2011,4,6,1
WC-2011,T-50,2011,1,2,3
WC-2011,T-51,2011,0,3,1
WC-2011,T-53,2011,2,5,3
WC-2011,T-74,2011,4,1,9
WC-2011,T-83,2011,6,2,6
WC-2014,T-01,2014,6,5,4
WC-2014,T-03,2014,6,3,9
WC-2014,T-04,2014,3,9,0
WC-2014,T-06,2014,4,1,9
WC-2014,T-08,2014,4,4,3
WC-2014,T-09,2014,7,2,7
WC-2014,T-11,2014,1,9,0
WC-2014,T-13,2014,5,3,6
WC-2014,T-16,2014,9,2,9
WC-2014,T-17,2014,4,1,7
WC-2014,T-18,2014,6,6,3
WC-2014,T-25,2014,3,3,4
WC-2014,T-28,2014,2,4,1
WC-2014,T-30,2014,8,2,7
WC-2014,T-31,2014,7,2,7
WC-2014,T-32,2014,4,6,1
WC-2014,T-33,2014,2,4,4
WC-2014,T-35,2014,1,8,0
WC-2014,T-38,2014,1,4,1
WC-2014,T-41,2014,2,3,3
WC-2014,T-42,2014,4,5,3
WC-2014,T-44,2014,2,6,1
WC-2014,T-46,2014,4,1,7
WC-2014,T-48,2014,10,3,9
WC-2014,T-50,2014,3,3,4
WC-2014,T-58,2014,4,7,4
WC-2014,T-62,2014,2,3,2
WC-2014,T-71,2014,3,6,1
WC-2014,T-73,2014,4,7,3
WC-2014,T-75,2014,7,6,6
WC-2014,T-83,2014,4,4,4
WC-2014,T-84,2014,4,4,6
WC-2015,T-04,2015,4,4,4
WC-2015,T-09,2015,4,0,9
WC-2015,T-11,2015,9,3,6
WC-2015,T-12,2015,2,1,5
WC-2015,T-14,2015,3,3,4
WC-2015,T-16,2015,4,3,4
WC-2015,T-17,2015,3,4,2
WC-2015,T-25,2015,1,17,0
WC-2015,T-28,2015,4,3,6
WC-2015,T-30,2015,6,2,6
WC-2015,T-31,2015,15,1,7
WC-2015,T-42,2015,3,16,0
WC-2015,T-44,2015,4,1,9
WC-2015,T-46,2015,2,8,1
WC-2015,T-48,2015,2,2,4
WC-2015,T-49,2015,2,3,2
